Event_name	Image_id	Image	Label
hurricane_harvey	905960092822003712_0	data_image/hurricane_harvey/8_9_2017/905960092822003712_0.jpg	severe_damage
california_wildfires	918008272363368448_0	data_image/california_wildfires/11_10_2017/918008272363368448_0.jpg	severe_damage
hurricane_irma	909396901254090752_0	data_image/hurricane_irma/17_9_2017/909396901254090752_0.jpg	severe_damage
hurricane_maria	912097936200355841_0	data_image/hurricane_maria/24_9_2017/912097936200355841_0.jpg	severe_damage
hurricane_maria	922610290281402368_1	data_image/hurricane_maria/23_10_2017/922610290281402368_1.jpg	little_or_no_damage
california_wildfires	919585500914208768_0	data_image/california_wildfires/15_10_2017/919585500914208768_0.jpg	severe_damage
hurricane_maria	914372204787355648_0	data_image/hurricane_maria/1_10_2017/914372204787355648_0.jpg	little_or_no_damage
california_wildfires	921623155835224064_1	data_image/california_wildfires/21_10_2017/921623155835224064_1.jpg	severe_damage
hurricane_harvey	906792024094986240_0	data_image/hurricane_harvey/10_9_2017/906792024094986240_0.jpg	mild_damage
hurricane_irma	910118839081472000_0	data_image/hurricane_irma/19_9_2017/910118839081472000_0.jpg	little_or_no_damage
iraq_iran_earthquake	931898198569996288_0	data_image/iraq_iran_earthquake/18_11_2017/931898198569996288_0.jpg	severe_damage
hurricane_harvey	905069428341174272_0	data_image/hurricane_harvey/5_9_2017/905069428341174272_0.jpg	severe_damage
hurricane_irma	909796661756653569_0	data_image/hurricane_irma/18_9_2017/909796661756653569_0.jpg	severe_damage
hurricane_harvey	907345772823408642_0	data_image/hurricane_harvey/11_9_2017/907345772823408642_0.jpg	mild_damage
hurricane_maria	914928771865694209_2	data_image/hurricane_maria/2_10_2017/914928771865694209_2.jpg	mild_damage
hurricane_irma	910170497689759744_0	data_image/hurricane_irma/19_9_2017/910170497689759744_0.jpg	little_or_no_damage
hurricane_harvey	908566528898895872_2	data_image/hurricane_harvey/15_9_2017/908566528898895872_2.jpg	little_or_no_damage
hurricane_maria	911750614631243776_2	data_image/hurricane_maria/24_9_2017/911750614631243776_2.jpg	severe_damage
hurricane_harvey	905498554332000256_3	data_image/hurricane_harvey/6_9_2017/905498554332000256_3.jpg	little_or_no_damage
hurricane_harvey	904814892095598592_0	data_image/hurricane_harvey/4_9_2017/904814892095598592_0.jpg	mild_damage
hurricane_maria	913100773264957447_0	data_image/hurricane_maria/27_9_2017/913100773264957447_0.jpg	severe_damage
hurricane_irma	910213017681281024_0	data_image/hurricane_irma/19_9_2017/910213017681281024_0.jpg	mild_damage
hurricane_maria	922560865144012803_1	data_image/hurricane_maria/23_10_2017/922560865144012803_1.jpg	mild_damage
iraq_iran_earthquake	930712268416753664_0	data_image/iraq_iran_earthquake/15_11_2017/930712268416753664_0.jpg	severe_damage
hurricane_harvey	904221225072836608_0	data_image/hurricane_harvey/3_9_2017/904221225072836608_0.jpg	severe_damage
hurricane_irma	905733262173102081_0	data_image/hurricane_irma/7_9_2017/905733262173102081_0.jpg	severe_damage
hurricane_harvey	907292737057079297_0	data_image/hurricane_harvey/11_9_2017/907292737057079297_0.jpg	severe_damage
hurricane_irma	909914772816179201_3	data_image/hurricane_irma/18_9_2017/909914772816179201_3.jpg	little_or_no_damage
hurricane_harvey	905766482503663617_0	data_image/hurricane_harvey/7_9_2017/905766482503663617_0.jpg	severe_damage
california_wildfires	921767804860235776_0	data_image/california_wildfires/21_10_2017/921767804860235776_0.jpg	severe_damage
mexico_earthquake	912346493809577984_2	data_image/mexico_earthquake/25_9_2017/912346493809577984_2.jpg	severe_damage
hurricane_maria	914271884253986817_0	data_image/hurricane_maria/30_9_2017/914271884253986817_0.jpg	mild_damage
hurricane_harvey	901655097293377536_1	data_image/hurricane_harvey/27_8_2017/901655097293377536_1.jpg	severe_damage
hurricane_irma	905766123907407872_0	data_image/hurricane_irma/7_9_2017/905766123907407872_0.jpg	severe_damage
hurricane_irma	909428648796704768_0	data_image/hurricane_irma/17_9_2017/909428648796704768_0.jpg	severe_damage
hurricane_irma	910122015993995264_1	data_image/hurricane_irma/19_9_2017/910122015993995264_1.jpg	mild_damage
hurricane_irma	905740321966891008_0	data_image/hurricane_irma/7_9_2017/905740321966891008_0.jpg	little_or_no_damage
california_wildfires	921485785517494272_0	data_image/california_wildfires/20_10_2017/921485785517494272_0.jpg	severe_damage
hurricane_harvey	906343879909179392_0	data_image/hurricane_harvey/9_9_2017/906343879909179392_0.jpg	mild_damage
hurricane_maria	916086364285923329_0	data_image/hurricane_maria/5_10_2017/916086364285923329_0.jpg	severe_damage
hurricane_harvey	907877049779539968_0	data_image/hurricane_harvey/13_9_2017/907877049779539968_0.jpg	severe_damage
