event_name	tweet_id	image_id	tweet_text	image	label	label_text	label_image	label_text_image
california_wildfires	917793137925459968	917793137925459968_0	RT @KAKEnews: California wildfires destroy more than 50 structures: https://t.co/IkSrNpmT83 #KAKEnews https://t.co/8risKwbBqr	data_image/california_wildfires/10_10_2017/917793137925459968_0.jpg	infrastructure_and_utility_damage	infrastructure_and_utility_damage	infrastructure_and_utility_damage	Positive
california_wildfires	917793137925459968	917793137925459968_1	RT @KAKEnews: California wildfires destroy more than 50 structures: https://t.co/IkSrNpmT83 #KAKEnews https://t.co/8risKwbBqr	data_image/california_wildfires/10_10_2017/917793137925459968_1.jpg	infrastructure_and_utility_damage	infrastructure_and_utility_damage	infrastructure_and_utility_damage	Positive
california_wildfires	917793137925459968	917793137925459968_2	RT @KAKEnews: California wildfires destroy more than 50 structures: https://t.co/IkSrNpmT83 #KAKEnews https://t.co/8risKwbBqr	data_image/california_wildfires/10_10_2017/917793137925459968_2.jpg	infrastructure_and_utility_damage	infrastructure_and_utility_damage	infrastructure_and_utility_damage	Positive
california_wildfires	917815040962695168	917815040962695168_2	RT @TheAtlantic: Photos of California's destructive wildfires, via @TheAtlPhoto: https://t.co/mzYsQALqrl https://t.co/bWvczIJa2Z	data_image/california_wildfires/10_10_2017/917815040962695168_2.jpg	infrastructure_and_utility_damage	infrastructure_and_utility_damage	infrastructure_and_utility_damage	Positive
california_wildfires	917828283047260161	917828283047260161_0	Why California's #wildfires are worse in the fall. https://t.co/F6fMb97Djd https://t.co/jXmu1pAXpr	data_image/california_wildfires/10_10_2017/917828283047260161_0.jpg	other_relevant_information	other_relevant_information	other_relevant_information	Positive
california_wildfires	917828283047260161	917828283047260161_1	Why California's #wildfires are worse in the fall. https://t.co/F6fMb97Djd https://t.co/jXmu1pAXpr	data_image/california_wildfires/10_10_2017/917828283047260161_1.jpg	other_relevant_information	other_relevant_information	other_relevant_information	Positive
california_wildfires	917828283047260161	917828283047260161_2	Why California's #wildfires are worse in the fall. https://t.co/F6fMb97Djd https://t.co/jXmu1pAXpr	data_image/california_wildfires/10_10_2017/917828283047260161_2.jpg	other_relevant_information	other_relevant_information	other_relevant_information	Positive
california_wildfires	917830092620836864	917830092620836864_0	Playing with my new friend, Chai. She's a California fire evacuee starting with us for a few days. I â¤ï¸ her! https://t.co/Z5PmkUyUJ5	data_image/california_wildfires/10_10_2017/917830092620836864_0.jpg	not_humanitarian	not_humanitarian	not_humanitarian	Positive
california_wildfires	917830092620836864	917830092620836864_2	Playing with my new friend, Chai. She's a California fire evacuee starting with us for a few days. I â¤ï¸ her! https://t.co/Z5PmkUyUJ5	data_image/california_wildfires/10_10_2017/917830092620836864_2.jpg	not_humanitarian	not_humanitarian	not_humanitarian	Positive
california_wildfires	917830092620836864	917830092620836864_1	Playing with my new friend, Chai. She's a California fire evacuee starting with us for a few days. I â¤ï¸ her! https://t.co/Z5PmkUyUJ5	data_image/california_wildfires/10_10_2017/917830092620836864_1.jpg	not_humanitarian	not_humanitarian	not_humanitarian	Positive
california_wildfires	917830092620836864	917830092620836864_3	Playing with my new friend, Chai. She's a California fire evacuee starting with us for a few days. I â¤ï¸ her! https://t.co/Z5PmkUyUJ5	data_image/california_wildfires/10_10_2017/917830092620836864_3.jpg	not_humanitarian	not_humanitarian	not_humanitarian	Positive
california_wildfires	917832022017445888	917832022017445888_2	RT @Ciscokid__: Calistoga Fire #tubbsfire #napafire #ABC7now #kron4news #fire #california #napa https://t.co/aTcggkpkNe	data_image/california_wildfires/10_10_2017/917832022017445888_2.jpg	not_humanitarian	not_humanitarian	not_humanitarian	Positive
california_wildfires	917832022017445888	917832022017445888_1	RT @Ciscokid__: Calistoga Fire #tubbsfire #napafire #ABC7now #kron4news #fire #california #napa https://t.co/aTcggkpkNe	data_image/california_wildfires/10_10_2017/917832022017445888_1.jpg	not_humanitarian	not_humanitarian	not_humanitarian	Positive
